outcome,definition,threshold,landmark_days,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
Lesion recurrence,"≥1 dose, 30-d landmark",1,30,238,858,10,48,0.7219620532161751,0.3744467820152658,1.3919980924361777,0.33076108378400154
Lesion recurrence,"≥2 doses, 90-d landmark",2,90,205,723,10,30,1.1163939186459007,0.5426916037372537,2.2965812866951376,0.7648074032435376
Lesion recurrence,"≥3 doses, 240-d landmark",3,240,182,639,6,18,1.1402412485663138,0.47549227763925866,2.7343243330619345,0.7686880825948053
hr-HPV clearance,"≥1 dose, 30-d landmark",1,30,109,179,39,45,1.4536552814200272,0.9548714467081191,2.2129823700197684,0.0810543054966237
hr-HPV clearance,"≥2 doses, 90-d landmark",2,90,91,141,32,28,1.9301134878497546,1.1412218093435793,3.264341818110124,0.01417978616513837
hr-HPV clearance,"≥3 doses, 240-d landmark",3,240,64,113,11,12,1.6105269306262833,0.7293588046839059,3.5562702165453848,0.23834926831843214
