definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
Single-negative (primary),110,182,55,74,1.233869279978876,0.8860406762521774,1.7182432374496173,0.21355643635600713
Two-consecutive-negatives (S18),110,182,40,48,1.3969778747369517,0.9231951087840805,2.1139054615171315,0.1136867296662498
