group,n_vacc,n_unvacc,events_vacc,events_unvacc,HR,CI_lower,CI_upper,p_value,outcome
2가/4가 (Cervarix+Gardasil),113,404,8,29,0.9729984276161538,0.44414151106398664,2.1315862547401356,0.9454583410208726,recurrence
9가 (Gardasil9),128,463,5,28,0.614308831534428,0.23637934057300466,1.596481907371442,0.3173283474681432,recurrence
2가/4가 (Cervarix+Gardasil),113,404,64,231,0.9194936734678372,0.6970491577565473,1.2129253814300822,0.5525400948062307,hpv
9가 (Gardasil9),128,463,85,315,0.9088242970042735,0.7151068093058999,1.1550185120276093,0.4344060271654908,hpv
