definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
P1. Lesion recurrence (HSIL/CIN3+)  [HR<1 favourable],241,867,13,57,0.7951320996891916,0.4413552389976639,1.4324856716144907,0.4452914885163224
P2. Any hr-HPV clearance  [HR>1 favourable],110,182,55,74,1.233869279978876,0.8860406762521774,1.7182432374496173,0.21355643635600713
S1. Novel-type acquisition  [HR<1 favourable],206,583,46,107,1.214057381615721,0.87341111916307,1.6875618978471347,0.24832772521769778
S2. HPV-16 clearance (pre-index 16+),64,80,47,54,1.0747765853023188,0.764326754371141,1.5113231372680678,0.6784074874189652
S3. HPV-18 clearance (pre-index 18+),45,57,28,36,0.8988272108338796,0.6126598642822205,1.3186604868949903,0.5854477552607411
