period,t_low_d,t_high_d,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
Overall (full follow-up),0,inf,110,182,40,48,1.3969778747369517,0.9231951087840805,2.1139054615171315,0.1136867296662498
0–6 months,0,180.0,110,182,12,26,0.7282030825123907,0.3749819282740859,1.4141474279073787,0.34894205045958493
6–12 months,180,365.0,97,155,19,10,3.193418639671507,1.438514674151057,7.089203044953121,0.004322572566942029
12–24 months,365,730.0,78,139,4,9,0.7693210586072491,0.21727907016763473,2.7239388071752684,0.6843485156904993
24+ months,730,inf,65,117,4,2,4.20439342715134,0.7321721410978853,24.14312577335571,0.10731132938741338
