definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
Novel hr-HPV type (any post-index type not in pre-surgery set),175,450,48,92,1.3606645669821964,0.9847772994333942,1.8800271542673477,0.061905433967540564
Novel + 6-month landmark,168,425,42,71,1.5552819620699667,1.0860071552380346,2.2273352158623876,0.01594249987109067
Novel + 12-month landmark,155,392,32,49,1.727344191496448,1.095569564741625,2.7234399821979234,0.018629125794438987
