strategy,n_vac,n_ctl,events_vac,events_ctl,HR,CI_lo,CI_hi,p
Random sample (primary),2030,2038,29,30,1.2634087430937353,0.7524727985773778,2.1212748887979274,0.3765153172109198
Time-matched (calendar year),2054,2064,30,27,1.2679826720956466,0.7477207266076723,2.1502413929718647,0.37827066206558346
Risk-set sampling,1096,1102,13,13,1.214375428659513,0.5545287163050543,2.6593892045091456,0.6272164318222078
