definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
Primary (no minimum disease-free interval),241,867,13,57,0.7951320996891916,0.4413552389976639,1.4324856716144907,0.4452914885163224
Minimum disease-free interval ≥3 months,237,846,10,39,0.8831207824529855,0.4427151797100518,1.7616344596793723,0.724249759501971
Minimum disease-free interval ≥6 months (S19),235,837,8,33,0.8556369737486971,0.41133238007238154,1.7798614121188305,0.6765318102788614
Minimum disease-free interval ≥12 months,228,805,6,26,0.8205397255399145,0.3426374662659656,1.965008230204731,0.6571033713444265
