HR,CI_lower,CI_upper,p_value,n,events,vacc_n,vacc_events,age_min,age_max,landmark,max_fu_years,outcome
0.5344112300839251,0.2274335762341969,1.2557308712664554,0.1505597565481024,895,49,191,6,20,44,0,All,recurrence
0.34070042972658116,0.08009100417945883,1.4493111180849398,0.14493908299446107,895,24,191,2,20,44,0,1,recurrence
0.32632751771312896,0.07691502943332297,1.384510278438202,0.12882273729484142,895,25,191,2,20,44,0,1.5,recurrence
0.2764277452591296,0.06571725065779943,1.1627433829655731,0.07938232922005996,895,29,191,2,20,44,0,2,recurrence
0.25827302327466994,0.06161421351136007,1.0826228357055883,0.06410806611615909,895,31,191,2,20,44,0,2.5,recurrence
0.5183876829819375,0.18219212820612302,1.4749582899836313,0.21811795667762446,895,33,191,4,20,44,0,3,recurrence
0.4324236880277515,0.15365511908618176,1.2169477143331846,0.11227131047312484,895,39,191,4,20,44,0,4,recurrence
0.5023393817323869,0.19768141225492986,1.2765229242385872,0.14792111908465994,895,43,191,5,20,44,0,5,recurrence
0.6646950460255511,0.2572664284777452,1.71736167375266,0.399035467368829,877,34,189,5,20,44,90,All,recurrence
0.4676804688182726,0.05847022556493432,3.7407931780795565,0.47375810762263715,877,9,189,1,20,44,90,1,recurrence
0.337794151167716,0.0435948672200408,2.617392730827337,0.2988331822772121,877,12,189,1,20,44,90,1.5,recurrence
0.2855858296446967,0.037347408334599444,2.183799886812801,0.2272576533082824,877,14,189,1,20,44,90,2,recurrence
0.5016096012080978,0.11467983781716343,2.19404035455036,0.35947215012331024,877,17,189,2,20,44,90,2.5,recurrence
0.6671268298063926,0.19545279218534217,2.2770624152838495,0.5181263852773996,877,20,189,3,20,44,90,3,recurrence
0.5205407125013121,0.15576645514931406,1.7395441984709428,0.28885889518469143,877,25,189,3,20,44,90,4,recurrence
0.6410953330926757,0.2223967362559107,1.848063209166297,0.4104819689024716,877,28,189,4,20,44,90,5,recurrence
0.7435339151466444,0.285482073244118,1.9365232874029084,0.5439989885153994,871,31,189,5,20,44,180,All,recurrence
0.6272798465700339,0.07548115695964484,5.212956739962198,0.6659795228096339,871,7,189,1,20,44,180,1,recurrence
0.3705866969233319,0.04741915041646101,2.8961822118363254,0.34400098848993454,871,11,189,1,20,44,180,1.5,recurrence
0.3114173155182352,0.04048204608127068,2.3956482883767305,0.26240693113014224,871,13,189,1,20,44,180,2,recurrence
0.9415079903296347,0.26558992179040114,3.3376164648073816,0.9256275046279481,871,15,189,3,20,44,180,2.5,recurrence
0.7103474250239095,0.20691799560681856,2.438615659108341,0.58681234225843,871,19,189,3,20,44,180,3,recurrence
0.6044713138115668,0.17883189916493442,2.043178934671443,0.4178643737246217,871,22,189,3,20,44,180,4,recurrence
0.7351507310390797,0.2522956688845724,2.142116032893742,0.572837496904147,871,25,189,4,20,44,180,5,recurrence
0.7425451078551707,0.25486137990013963,2.1634240441438686,0.5853463604163838,838,25,183,4,20,44,365,All,recurrence
1.2756396038651868e-14,0.0,inf,0.9999966281198518,838,5,183,0,20,44,365,1,recurrence
8.29384043108577e-12,0.0,inf,0.999919693651522,838,7,183,0,20,44,365,1.5,recurrence
1.0802435291627455,0.22430308384015843,5.202452245951069,0.9233291041376023,838,9,183,2,20,44,365,2,recurrence
0.6929641546172718,0.15354284695764694,3.1274613510122538,0.6333410501585001,838,13,183,2,20,44,365,2.5,recurrence
0.5903545607548278,0.13318417889533665,2.6168161285726765,0.48784084800108785,838,15,183,2,20,44,365,3,recurrence
0.7304603800017264,0.21279803057860378,2.507412147102435,0.6176851689540601,838,19,183,3,20,44,365,4,recurrence
0.8662591152813988,0.2931256632681609,2.560010769584568,0.795100073768467,838,22,183,4,20,44,365,5,recurrence
0.9867233190263129,0.3298606776219453,2.9516185903982652,0.9809259006194492,763,20,165,4,20,44,730,All,recurrence
1.299477779080427,0.2622164536769105,6.439880009987691,0.7483662989121915,763,8,165,2,20,44,730,1.5,recurrence
0.9794209707575442,0.20794839433957085,4.612997570893529,0.9790183926353988,763,10,165,2,20,44,730,2,recurrence
0.8759773285372128,0.18923577821343143,4.054921787811945,0.8655056119503695,763,11,165,2,20,44,730,2.5,recurrence
1.08164994919044,0.3017253958464632,3.877587464261822,0.9040931119627544,763,14,165,3,20,44,730,3,recurrence
1.2175412859492198,0.39696571919789475,3.7343445826662744,0.7306721804962304,763,17,165,4,20,44,730,4,recurrence
1.1310976105095152,0.3722926629915797,3.4364948108828863,0.8279942643721622,763,18,165,4,20,44,730,5,recurrence
0.53556187831733,0.2430116914847732,1.1802992841797442,0.1214213714300536,944,58,200,7,20,46,0,All,recurrence
0.42524649494944117,0.12897387540127098,1.4021024095318688,0.16009081293621197,944,30,200,3,20,46,0,1,recurrence
0.41019207564627624,0.12467474777217723,1.3495719215768027,0.14248143751652517,944,31,200,3,20,46,0,1.5,recurrence
0.3459320024322629,0.1060723365197021,1.128182467108826,0.07840311610182878,944,36,200,3,20,46,0,2,recurrence
0.326489767850323,0.1003961413061768,1.0617496561533646,0.0628270164925252,944,38,200,3,20,46,0,2.5,recurrence
0.5448504344387903,0.2134194490496049,1.3909791128696014,0.20412708581730332,944,40,200,5,20,46,0,3,recurrence
0.45842280024358684,0.18133512386322034,1.1589120701276114,0.09928658964373588,944,47,200,5,20,46,0,4,recurrence
0.5178995982071412,0.22090121889605432,1.2142078489359986,0.1301445792895419,944,51,200,6,20,46,0,5,recurrence
0.6744809285025571,0.28363106634158836,1.6039305171380192,0.37291335233702305,923,41,198,6,20,46,90,All,recurrence
