outcome,n_vac,n_ctl,events_vac,events_ctl,events_competing,py_vac,py_ctl,ir_vac_per1000py,ir_ctl_per1000py,HR_clusterRobust,CI_lo,CI_hi,p,PH_global_p
Any-of-5,2030,2038,29,30,28,12106.22313483915,15114.05338809035,2.3954622079072814,1.9849076372615937,1.2634087430937353,0.7524727985773778,2.1212748887979274,0.3765153172109198,0.3410884657690408
MCE,2053,2053,3,2,28,12324.320328542095,15299.60848733744,0.2434211315533767,0.1307222993095071,1.9612203486378235,0.3090750511913964,12.444826074069535,0.4749320940452101,0.04505770006752017
Angina/MI,2053,2053,3,1,28,12324.320328542095,15301.500342231348,0.2434211315533767,0.06535306849878321,,,,,
Hypertension,2044,2048,8,7,28,12246.250513347022,15250.316221765914,0.6532611750250339,0.459006875543295,1.4890964000960356,0.5304434451779092,4.180291242990589,0.44962246084925683,0.382647711364294
Diabetes,2039,2043,21,22,28,12200.585900068447,15174.165639972622,1.7212288140918042,1.4498325985085065,1.2452647491610214,0.6799428034022598,2.280609909750988,0.4773995961025509,0.655011189930816
Stroke,2053,2053,0,0,28,12340.613278576318,15305.782340862423,0.0,0.0,,,,,
PE,2053,2053,0,1,28,12340.613278576318,15303.890485968515,0.0,0.06534286173289448,,,,,
