outcome,design,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p,detectable_HR_80pct_power
Lesion recurrence,"variable-ratio (1:up-to-4, primary)",241,867,13,57,0.7951320996891916,0.4413552389976639,1.4324856716144907,0.4452914885163224,1.9529245557640393
Lesion recurrence,strict 1:4 (sensitivity),193,772,9,50,0.7185069445588687,0.3648941473743325,1.4147999717016988,0.3389457576712397,2.073126597910291
HPV reinfection,"variable-ratio (1:up-to-4, primary)",241,867,149,546,0.9081834949039791,0.7647251450639424,1.0785538644044985,0.27224831263465266,1.2366673094315221
HPV reinfection,strict 1:4 (sensitivity),193,772,117,485,0.8729447109384477,0.7202241345130649,1.0580490597841619,0.16608923012464147,1.2563855165312223
