age_min,age_max,landmark,max_fu_days,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
29,51,30,850,700,24,174,3,526,21,0.422307463096743,0.12596180391792836,1.415854551459175,0.1625292377241977
29,51,30,900,700,26,174,3,526,23,0.3857551772587984,0.1158205797242879,1.284806699605577,0.12072243044818419
29,51,30,730,700,23,174,2,526,21,0.2816251915545241,0.0660318266053412,1.2011291008525107,0.0868311791330142
29,51,30,760,700,23,174,2,526,21,0.2816251915545241,0.0660318266053412,1.2011291008525107,0.0868311791330142
29,51,30,790,700,23,174,2,526,21,0.2816251915545241,0.06603182660534122,1.2011291008525105,0.08683117913301408
29,51,30,820,700,24,174,3,526,21,0.422307463096743,0.12596180391792836,1.415854551459175,0.1625292377241977
29,51,30,1095,700,28,174,5,526,23,0.6449817926695396,0.24519736866421377,1.6965986019405752,0.37415810977600805
29,51,30,1460,700,34,174,5,526,29,0.516006177529156,0.1997325146757619,1.3330947927055892,0.17184546243766974
29,51,30,1825,700,38,174,6,526,32,0.5652406584415341,0.2363293609150587,1.3519141283094842,0.19974169685038556
29,51,60,All,696,39,174,7,522,32,0.6671300519627709,0.29442578324230867,1.5116288435431233,0.3320888901376494
29,51,60,365,696,12,174,2,522,10,0.5949423819873841,0.13035397180414193,2.715348316479726,0.5026023400270754
29,51,60,400,696,12,174,2,522,10,0.594942381987384,0.13035397180414193,2.715348316479726,0.5026023400270753
29,51,60,450,696,12,174,2,522,10,0.5949423819873843,0.13035397180414188,2.715348316479728,0.5026023400270756
29,51,60,500,696,13,174,2,522,11,0.5403527721323674,0.11976792725265341,2.437890719567959,0.4232833856979691
29,51,60,550,696,13,174,2,522,11,0.5403527721323677,0.11976792725265346,2.4378907195679607,0.42328338569796964
29,51,60,600,696,15,174,2,522,13,0.45613149948507165,0.10293001697571978,2.021334018351307,0.3013872652274
29,51,60,650,696,18,174,2,522,16,0.3688412845236785,0.08480497529848406,1.604197073228898,0.1835707466200025
29,51,60,700,696,19,174,2,522,17,0.3465020995991348,0.08005272273458397,1.4998078881674246,0.1562545999929371
29,51,60,730,696,19,174,2,522,17,0.3465020995991348,0.08005272273458397,1.4998078881674246,0.1562545999929371
29,51,60,750,696,19,174,2,522,17,0.3465020995991348,0.08005272273458397,1.4998078881674246,0.1562545999929371
29,51,60,800,696,19,174,2,522,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,60,850,696,20,174,3,522,17,0.5196639713858923,0.15228691791131174,1.7733016523049503,0.2959050890855386
29,51,60,900,696,22,174,3,522,19,0.4653675439965348,0.13770881194026258,1.5726441028284555,0.21823478049644052
29,51,60,730,696,19,174,2,522,17,0.3465020995991348,0.08005272273458397,1.4998078881674246,0.1562545999929371
29,51,60,760,696,19,174,2,522,17,0.3465020995991348,0.08005272273458397,1.4998078881674246,0.1562545999929371
29,51,60,790,696,19,174,2,522,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,60,820,696,20,174,3,522,17,0.5196639713858922,0.15228691791131171,1.77330165230495,0.2959050890855386
29,51,60,1095,696,24,174,5,522,19,0.7787266373761567,0.2907562910642527,2.085647651988957,0.6187919730222159
29,51,60,1460,696,30,174,5,522,25,0.5980061696775965,0.22891484104075005,1.5622026835246148,0.29396778638753784
29,51,60,1825,696,34,174,6,522,28,0.6460106475892502,0.26746707734186703,1.5603032752523263,0.3314611641464177
29,51,90,All,694,39,174,7,520,32,0.667130051962771,0.29442578324230867,1.5116288435431235,0.3320888901376494
29,51,90,365,694,12,174,2,520,10,0.594942381987384,0.13035397180414193,2.715348316479726,0.5026023400270753
29,51,90,400,694,12,174,2,520,10,0.5949423819873843,0.13035397180414188,2.715348316479728,0.5026023400270756
29,51,90,450,694,12,174,2,520,10,0.5949423819873843,0.13035397180414188,2.715348316479728,0.5026023400270756
29,51,90,500,694,13,174,2,520,11,0.5403527721323675,0.11976792725265341,2.4378907195679598,0.4232833856979695
29,51,90,550,694,13,174,2,520,11,0.5403527721323675,0.11976792725265341,2.43789071956796,0.42328338569796964
29,51,90,600,694,15,174,2,520,13,0.45613149948507187,0.10293001697571982,2.021334018351308,0.3013872652274002
29,51,90,650,694,18,174,2,520,16,0.36884128452367837,0.0848049752984841,1.6041970732288968,0.18357074662000228
29,51,90,700,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,730,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,750,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,800,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,850,694,20,174,3,520,17,0.5196639713858923,0.15228691791131174,1.7733016523049505,0.2959050890855388
29,51,90,900,694,22,174,3,520,19,0.4653675439965348,0.13770881194026258,1.5726441028284555,0.21823478049644052
29,51,90,730,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,760,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,790,694,19,174,2,520,17,0.34650209959913497,0.08005272273458397,1.4998078881674255,0.15625459999293723
29,51,90,820,694,20,174,3,520,17,0.5196639713858923,0.15228691791131174,1.7733016523049505,0.2959050890855388
29,51,90,1095,694,24,174,5,520,19,0.7787266373761572,0.2907562910642528,2.085647651988958,0.6187919730222168
29,51,90,1460,694,30,174,5,520,25,0.5980061696775965,0.22891484104075,1.5622026835246146,0.29396778638753784
29,51,90,1825,694,34,174,6,520,28,0.6460106475892501,0.26746707734186703,1.560303275252326,0.3314611641464176
29,51,120,All,691,36,174,7,517,29,0.7375426649079488,0.32304454300727586,1.6838829020159833,0.46981046562967976
29,51,120,365,691,9,174,2,517,7,0.8491549047943974,0.17639812780326367,4.087708080102657,0.8384026540906804
29,51,120,400,691,9,174,2,517,7,0.8491549047943974,0.17639812780326367,4.087708080102657,0.8384026540906804
29,51,120,450,691,9,174,2,517,7,0.8491549047943974,0.17639812780326367,4.087708080102657,0.8384026540906804
29,51,120,500,691,10,174,2,517,8,0.7421782205756465,0.15760159783598926,3.4950693308963903,0.7060602212216431
29,51,120,550,691,10,174,2,517,8,0.7421782205756466,0.15760159783598926,3.495069330896392,0.7060602212216434
29,51,120,600,691,12,174,2,517,10,0.5920830700664096,0.12972685671241574,2.7023113851930214,0.4986482766492043
29,51,120,650,691,15,174,2,517,13,0.4529862193452905,0.10221924306921207,2.0074157150410734,0.2971493836980943
29,51,120,700,691,16,174,2,517,14,0.41976375169638974,0.0953975659412032,1.847024140498799,0.2508341944563597
29,51,120,730,691,16,174,2,517,14,0.41976375169638974,0.0953975659412032,1.847024140498799,0.2508341944563597
29,51,120,750,691,16,174,2,517,14,0.41976375169638974,0.0953975659412032,1.847024140498799,0.2508341944563597
29,51,120,800,691,16,174,2,517,14,0.41976375169638974,0.0953975659412032,1.847024140498799,0.2508341944563597
29,51,120,850,691,17,174,3,517,14,0.629605738056612,0.1809290471332035,2.190932808605195,0.4671004118795785
29,51,120,900,691,19,174,3,517,16,0.5515902050458111,0.16071748022510882,1.8930843980152627,0.34434097648876205
29,51,120,730,691,16,174,2,517,14,0.41976375169638974,0.0953975659412032,1.847024140498799,0.2508341944563597
29,51,120,760,691,16,174,2,517,14,0.41976375169638974,0.0953975659412032,1.847024140498799,0.2508341944563597
