landmark_days,definition,n_v,n_c,ev_v,ev_c,HR,lo,hi,p
0,Primary (any post-index detection),241,867,149,546,0.9081834949039791,0.7647251450639424,1.0785538644044985,0.27224831263465266
180,Landmark 6 months (likely persistent),189,587,97,272,1.1819642138032396,0.9418197663852448,1.4833404995028117,0.1491079986585098
365,Landmark 12 months (clearance window),138,455,51,150,1.149845982193586,0.8431016486896267,1.5681926192667874,0.3778029384479288
730,Landmark 24 months (true new acquisition),114,384,34,108,1.076817995388153,0.740603780643103,1.5656644288054766,0.6983534725319109
