outcome,n_vac,n_ctl,py_vac,py_ctl,ir_vac_per1000py,ir_ctl_per1000py,events_vac,events_ctl,HR_clusterRobust,CI_lo,CI_hi,p_unadjusted,PH_p_vaccinated,PH_p_age
Lesion recurrence (≥CIN2),241,867,1405.426420260096,5051.950718685832,9.249861687952436,11.282770393854408,13,57,0.7951320996891916,0.4413552389976639,1.4324856716144907,0.4452914885163224,0.8228722779769071,0.4330953392883885
"hr-HPV clearance (pre-vaccine HPV+, co-primary)",110,182,325.6974674880219,628.1587953456536,168.86836862501156,117.80460696929414,55,74,1.233869279978876,0.8860406762521774,1.7182432374496173,0.21355643635600713,0.006512777536418244,0.5863196864972271
Post-index hr-HPV detection (sensitivity),241,867,815.5099247091033,2692.5722108145105,182.70777029862523,202.78007691197016,149,546,0.9081834949039791,0.7647251450639424,1.0785538644044985,0.27224831263465266,0.020953582760710406,0.9454611132713113
