outcome,LRT_interaction_chi2,LRT_df,LRT_p,Gardasil9_HR,Gardasil9_CI_lo,Gardasil9_CI_hi,Cervarix_HR,Cervarix_CI_lo,Cervarix_CI_hi,Gardasil_HR,Gardasil_CI_lo,Gardasil_CI_hi
Lesion recurrence (≥CIN2),0.644344860383967,2,0.7245732412546203,0.6265281276729194,0.22897800471280957,1.7143021892328272,1.068685814490365,0.42587498753832087,2.68174793897744,0.7306367557913869,0.16007052738424643,3.334967889697229
hr-HPV clearance (pre-vaccine HPV+),1.7269574812467,2,0.4216925687020444,0.9391705459826998,0.4358869829474584,2.023555070346671,1.5154561127665673,0.7945101975740574,2.890595031673567,1.9440415393713633,0.7807358813507056,4.840686328215168
Post-index hr-HPV detection (sensitivity),11.266341988017302,2,0.003577213999340967,0.9126642155286577,0.7068384891620396,1.178424750601815,1.238595162634116,0.9069843790920009,1.6914491718550506,0.4029931765407445,0.21386594383596175,0.7593705544018989
