stratum,n_total,n_vac_G9,n_vac_Cv,n_vac_G4,lrt_chi2,lrt_p,Gardasil9_HR,Gardasil9_lo,Gardasil9_hi,Cervarix_HR,Cervarix_lo,Cervarix_hi,Gardasil_HR,Gardasil_lo,Gardasil_hi
Full clearance subset (primary),292,57,36,17,1.7269574812467,0.4216925687020444,0.9391705459826998,0.4358869829474584,2.023555070346671,1.5154561127665673,0.7945101975740574,2.890595031673567,1.9440415393713633,0.7807358813507056,4.840686328215168
Index year ≤ 2015 (Gardasil-4v era),98,0,33,11,,,,,,,,,,,
Index year 2016–2018 (mixed era),82,15,3,6,2.0028020071574275,0.3673644016281913,1.9438445103920725,0.4362061762536476,8.662260385749867,2.5271273293559596e-07,0.0,inf,3.5739331365321143,0.6436605726043023,19.844307089871453
Index year ≥ 2019 (Gardasil-9v era),112,42,0,0,,,,,,,,,,,
