definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
"Two consecutive negatives (PRIMARY, v3)",92,143,31,28,1.855,1.086,3.167,0.0237
"Single negative test (sensitivity, v3)",91,139,42,42,1.701,1.131,2.558,0.0107
