definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
"Primary (all patients, any post-index hr-HPV+)",241,867,149,546,0.9081834949039791,0.7647251450639424,1.0785538644044985,0.27224831263465266
D1. New any-hr-HPV (pre-surgery hr-HPV NEGATIVE only),93,295,42,120,1.131292849993902,0.7892769440015276,1.6215138706051546,0.5018244034435668
D2. New HPV-16 (pre-surgery 16-negative only),133,432,15,29,1.820474415881291,1.0405741893025275,3.184902271215962,0.03578747884360812
D3. New HPV-18 (pre-surgery 18-negative only),151,465,20,33,2.0360799856213756,1.228899757547483,3.3734417167770987,0.005778648757014287
D4. New HPV-16/18 (pre-surgery 16- AND 18-negative only),131,420,15,32,1.5989113578857541,0.9271599806666722,2.7573639756731176,0.09141934937315144
