definition,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
C1. Any-clearance (pre-vaccine hr-HPV+ baseline),110,182,55,74,1.233869279978876,0.8860406762521774,1.7182432374496173,0.21355643635600713
C2. HPV-16 clearance (pre-vaccine 16+ baseline),64,80,47,54,1.074776585302319,0.7643267543711412,1.511323137268068,0.6784074874189652
C3. HPV-18 clearance (pre-vaccine 18+ baseline),45,57,28,36,0.8988272108338796,0.6126598642822204,1.3186604868949903,0.5854477552607411
