outcome,e_v,n_v,e_c,n_c,e_comp,py_v,py_c,ir_v,ir_c,cs_HR,cs_CI_lo,cs_CI_hi,cs_p,PH_p,fg_HR,fg_CI_lo,fg_CI_hi,fg_p
Any-of-5 composite,29,2030,30,2038,28,12106.22313483915,15129.790554414783,2.395462207907282,1.9828430467760951,1.2649883568155884,0.7534092975514078,2.1239392028737414,0.3739755417332605,0.3409078547844438,1.2711938400404157,0.7625094267136813,2.1192312151748305,0.3574736585731577
MCE composite (MI/Stroke/PE),3,2053,2,2053,28,12324.320328542097,15315.345653661876,0.2434211315533767,0.1305879766103616,1.963681654195149,0.3094729104465969,12.460042571926506,0.4741024071947007,0.0450372619203444,1.9528220127397553,0.3256847390917615,11.709218626809816,0.463940274905776
Hypertension,8,2044,7,2048,28,12246.250513347022,15266.05338809035,0.6532611750250339,0.4585337036395389,1.49121951846731,0.5311332428233868,4.186775507473396,0.4480572169564079,0.3825305990037366,1.4987802273899782,0.5427735476977018,4.138636047286256,0.4349012943585322
Diabetes,21,2039,22,2043,28,12200.585900068449,15189.902806297056,1.7212288140918042,1.4483305311788948,1.2467262645481934,0.6807518095474409,2.283249720257956,0.4750357543323998,0.6548455556878414,1.2525101782082315,0.6882867313527028,2.2792561225640076,0.4610778898225619
Angina/MI,3,2053,1,2053,28,12324.320328542097,15317.237508555783,0.2434211315533767,0.0652859237471135,,,,,,,,,
Stroke,0,2053,0,2053,28,12340.613278576318,15321.519507186858,0.0,0.0,,,,,,,,,
PE,0,2053,1,2053,28,12340.613278576318,15319.62765229295,0.0,0.065275737941994,,,,,,,,,
