outcome,age_group,landmark,max_fu,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
Recurrence,<45,180,3,764,17,194,3,570,14,0.6311509393772351,0.18136639407229554,2.1963909593856568,0.4694767172622476
Recurrence,<45,180,4,764,22,194,3,570,19,0.47142360878398526,0.13949167189309786,1.5932149633222128,0.2261414236645849
Recurrence,<45,180,5,764,26,194,4,570,22,0.546768179309428,0.1883993877326663,1.5868174812200377,0.2667362118708536
Recurrence,<45,270,All,754,28,192,5,562,23,0.6644434669977911,0.252565583570585,1.7480019034844543,0.4074645241546714
Recurrence,<45,270,2,754,10,192,1,562,9,0.32225890842598454,0.04082647154069899,2.5437124527496957,0.28269393652761454
Recurrence,<45,270,3,754,14,192,3,562,11,0.8039453382236665,0.22426453245355024,2.881989852699661,0.737611572337411
Recurrence,<45,270,4,754,19,192,3,562,16,0.5613736409621246,0.16355410038326465,1.9268264386437763,0.3588203670699125
Recurrence,<45,270,5,754,23,192,4,562,19,0.6351628635607058,0.21605690966926813,1.8672481424648455,0.40939130999415296
Recurrence,<45,365,All,733,23,188,4,545,19,0.6505699207066806,0.22128922836776127,1.912615561318289,0.434582534295602
Recurrence,<45,365,3,733,9,188,2,545,7,0.8485693645699176,0.17625256030603836,4.085444008508536,0.8377442245184421
Recurrence,<45,365,4,733,14,188,2,545,12,0.5042471542404332,0.11284009051080048,2.2533231886697065,0.37004126334811793
Recurrence,<45,365,5,733,18,188,3,545,15,0.609664326599564,0.17647637594049145,2.10617760676044,0.43400723769117777
Recurrence,30-45,0,All,574,41,136,6,438,35,0.5533649875104194,0.2327336902709795,1.3157218838659452,0.18054555752763712
Recurrence,30-45,0,2,574,24,136,2,438,22,0.2859275815895073,0.06723352012417795,1.2159794959809707,0.0900325353185436
Recurrence,30-45,0,3,574,28,136,4,438,24,0.5276129863491321,0.18305865987029102,1.5206899447504783,0.23645867453366953
Recurrence,30-45,0,4,574,33,136,4,438,29,0.44140406412881084,0.15516547411964782,1.2556759094435692,0.12523484291382747
Recurrence,30-45,0,5,574,37,136,5,438,32,0.5027101901550919,0.1958616540508662,1.290285924064221,0.15270250473669647
Recurrence,30-45,90,All,563,32,136,6,427,26,0.7473974517569815,0.3075887043911412,1.8160710810189213,0.5203753857384428
Recurrence,30-45,90,2,563,15,136,2,427,13,0.47973411597175303,0.10825586334213294,2.1259340133831577,0.3335241147474043
Recurrence,30-45,90,3,563,19,136,4,427,15,0.8410463213668891,0.2791152684573913,2.5342895736023094,0.7583845072358624
Recurrence,30-45,90,4,563,24,136,4,427,20,0.6407673066327704,0.21898681812996437,1.8749198913230567,0.4164889222875141
Recurrence,30-45,90,5,563,28,136,5,427,23,0.7013271429540086,0.2665927309225332,1.8449856443646153,0.4721944349272953
Recurrence,30-45,180,All,559,29,135,5,424,24,0.6770765685236697,0.2582996882543362,1.7748092641613615,0.427682583144969
Recurrence,30-45,180,2,559,12,135,1,424,11,0.28315953701005375,0.03655613936749228,2.1933203228524687,0.22703806854664244
Recurrence,30-45,180,3,559,16,135,3,424,13,0.7287537907596421,0.20764870538814706,2.5575988376803203,0.6213226428281213
Recurrence,30-45,180,4,559,21,135,3,424,18,0.5356901597253941,0.15777201521735537,1.8188520114373965,0.3169045585049578
Recurrence,30-45,180,5,559,25,135,4,424,21,0.6166784172383095,0.2116539458840801,1.7967643773380315,0.37562012216762775
Recurrence,30-45,270,All,554,27,134,5,420,22,0.7404682849095692,0.28036251085738356,1.955658334205132,0.5442554830074255
Recurrence,30-45,270,2,554,10,134,1,420,9,0.3454196218570988,0.04376039347352325,2.726545757320285,0.3132426568074935
Recurrence,30-45,270,3,554,14,134,3,420,11,0.8617836634535198,0.24039242916836093,3.089411281231462,0.8193678680982656
Recurrence,30-45,270,4,554,19,134,3,420,16,0.604061932471743,0.17598231840898163,2.0734515919576246,0.42307245562360896
Recurrence,30-45,270,5,554,23,134,4,420,19,0.6833500406244434,0.23243934552844933,2.008985513875808,0.48892064544767644
Recurrence,30-45,365,All,538,22,130,4,408,18,0.7307468040010742,0.24726730005501021,2.1595693868092782,0.5704449717253048
Recurrence,30-45,365,2,538,5,130,0,408,5,9.948290149727409e-11,0.0,inf,0.9997667699039081
Recurrence,30-45,365,3,538,9,130,2,408,7,0.9076420042935788,0.18851033196437036,4.370126556849792,0.9038125297890265
Recurrence,30-45,365,4,538,14,130,2,408,12,0.5425721979601118,0.12140699854240103,2.4247744655054113,0.42345049423479675
Recurrence,30-45,365,5,538,18,130,3,408,15,0.6558715618822707,0.18984114530445412,2.265933999692302,0.5048867740793046
Recurrence,30-50,0,All,654,47,160,7,494,40,0.537088655121969,0.24058652603597414,1.1990040681563034,0.12925315117345168
Recurrence,30-50,0,2,654,27,160,2,494,25,0.24030370170377502,0.05691659247406015,1.0145700320843112,0.05234130050486225
Recurrence,30-50,0,3,654,32,160,5,494,27,0.5576321627283349,0.2147381022866766,1.448059871992141,0.2302969637721135
Recurrence,30-50,0,4,654,38,160,5,494,33,0.4597506652570393,0.17947674974991779,1.1777050481402926,0.10540949412953086
Recurrence,30-50,0,5,654,42,160,6,494,36,0.5076365275858481,0.21388667002552453,1.2048195621946194,0.12417983057720158
Recurrence,30-50,90,All,642,37,160,7,482,30,0.7167838910620059,0.3148080299282028,1.6320395213653394,0.42766939789127834
Recurrence,30-50,90,2,642,17,160,2,482,15,0.3962732546965193,0.09061809921969577,1.732904284463755,0.21883090543321537
Recurrence,30-50,90,3,642,22,160,5,482,17,0.8793735371901844,0.3244167718060674,2.383655486136965,0.8005297808078227
Recurrence,30-50,90,4,642,28,160,5,482,23,0.6577522737893468,0.2500430633974935,1.7302541722074931,0.3959112172744709
Recurrence,30-50,90,5,642,32,160,6,482,26,0.701945918709997,0.2889010832630562,1.7055251826278992,0.4346091080585489
Recurrence,30-50,180,All,637,33,159,6,478,27,0.6845354037550331,0.2825935948934242,1.6581717613620617,0.40110134982226386
Recurrence,30-50,180,2,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
Recurrence,30-50,180,3,637,18,159,4,478,14,0.8534090494947763,0.28089335150637973,2.592823937817681,0.7797964440030162
Recurrence,30-50,180,4,637,24,159,4,478,20,0.6058819211119201,0.20707339441821937,1.772767106859056,0.3603174600505994
Recurrence,30-50,180,5,637,28,159,5,478,23,0.6624618392903074,0.2518293627831586,1.7426708453127455,0.4040137394341561
Recurrence,30-50,270,All,632,31,158,6,474,25,0.7404350055280985,0.3037136049356161,1.8051347996992655,0.5086395051946224
Recurrence,30-50,270,2,632,11,158,1,474,10,0.2954206506258811,0.03781543074466237,2.3078769459352904,0.24499208523136207
Recurrence,30-50,270,3,632,16,158,4,474,12,0.9947262406486974,0.32079483869764924,3.0844645065118406,0.992692986752825
Recurrence,30-50,270,4,632,22,158,4,474,18,0.6736186804188611,0.22795415373957784,1.9905850328467367,0.47480184184263974
Recurrence,30-50,270,5,632,26,158,5,474,21,0.7262662985639818,0.2738294340840896,1.9262455776315472,0.5204276648987236
Recurrence,30-50,365,All,615,26,154,5,461,21,0.738935502791429,0.2785901923300859,1.9599601576737018,0.5432537877930733
Recurrence,30-50,365,2,615,6,154,0,461,6,1.2943753949420464e-10,0.0,inf,0.9997038946001577
Recurrence,30-50,365,3,615,11,154,3,461,8,1.1177054324555424,0.29648623061151885,4.213569821316672,0.8694515638682387
Recurrence,30-50,365,4,615,17,154,3,461,14,0.6520469074216032,0.18735828911247746,2.2692626597525978,0.5015198827863729
Recurrence,30-50,365,5,615,21,154,4,461,17,0.7210337146875783,0.24258763717729287,2.143100216340421,0.5562032115779364
Recurrence,35-44,0,All,365,30,90,4,275,26,0.47371663119188784,0.16530502969512512,1.3575355031947276,0.16424334458237588
Recurrence,35-44,0,2,365,18,90,2,275,16,0.3738567089940762,0.08595843664142085,1.6260048963306863,0.18957553951280837
Recurrence,35-44,0,3,365,21,90,3,275,18,0.4996811699274865,0.1471820987683524,1.6964105938798382,0.2659195990222921
Recurrence,35-44,0,4,365,24,90,3,275,21,0.4319190384526021,0.12882401873758267,1.4481310054286929,0.17379384165278078
Recurrence,35-44,0,5,365,28,90,4,275,24,0.5114488650995976,0.17743292711081246,1.4742468935785606,0.21446472298633457
Recurrence,35-44,90,All,358,24,90,4,268,20,0.6185066078200572,0.21136391625017256,1.8099135874464176,0.38047714550133227
Recurrence,35-44,90,2,358,12,90,2,268,10,0.5945499671357115,0.13026751232669098,2.713567313196076,0.5020606778284757
Recurrence,35-44,90,3,358,15,90,3,268,12,0.7466142564976853,0.21067864153562044,2.6458916003184103,0.6507862567999471
Recurrence,35-44,90,4,358,18,90,3,268,15,0.6044307687776453,0.17496465472199554,2.0880591844428533,0.4260349209441676
Recurrence,35-44,90,5,358,22,90,4,268,18,0.6845239537591925,0.23161697739568815,2.0230513692855063,0.4929890161188808
Recurrence,35-44,180,All,355,21,89,3,266,18,0.5185089105694161,0.1527014299814284,1.7606350534672828,0.2923183016577786
Recurrence,35-44,180,2,355,9,89,1,266,8,0.37184749443912973,0.046506108644236696,2.973169829761577,0.3509793755554984
Recurrence,35-44,180,3,355,12,89,2,266,10,0.5982791532896672,0.1310786424061761,2.7307114163713377,0.5072287458458103
Recurrence,35-44,180,4,355,15,89,2,266,13,0.46666866743675306,0.10529768168410536,2.068228299845547,0.315701604631735
Recurrence,35-44,180,5,355,19,89,3,266,16,0.5810189647312438,0.1692571965560643,1.9944973935896797,0.3882124594355957
Recurrence,35-44,270,All,350,19,88,3,262,16,0.5857354254124454,0.17063075631111846,2.0106925386741814,0.3953172720674699
Recurrence,35-44,270,2,350,7,88,1,262,6,0.49487159273433823,0.059575742524424505,4.110698128437409,0.5148708100562542
Recurrence,35-44,270,3,350,10,88,2,262,8,0.7477145306425406,0.1587663846957544,3.5213815594866604,0.7130702893183152
Recurrence,35-44,270,4,350,13,88,2,262,11,0.5526371438866894,0.1224749996981632,2.493633913499963,0.44045268023786854
Recurrence,35-44,270,5,350,17,88,3,262,14,0.6667768452315243,0.19156387144958872,2.3208518285448263,0.524177296476803
Recurrence,35-44,365,All,339,15,84,2,255,13,0.4869169065973598,0.10985177925573608,2.158254290796679,0.34347091282794284
Recurrence,35-44,365,3,339,6,84,1,255,5,0.6000059458188534,0.07008667538240387,5.136598833568885,0.6410153656709712
Recurrence,35-44,365,4,339,9,84,1,255,8,0.38347119757544856,0.047952076172850466,3.0666067270973696,0.36620726023320815
Recurrence,35-44,365,5,339,13,84,2,255,11,0.5736105037029221,0.12710175494758022,2.588705483209255,0.4697438129905166
Recurrence,35-50,0,All,445,36,114,5,331,31,0.4656128724275535,0.18102931300904657,1.1975704009847472,0.11275413530819392
Recurrence,35-50,0,2,445,21,114,2,331,19,0.29761299592176266,0.06931967568111982,1.2777540355061316,0.10303944248263432
Recurrence,35-50,0,3,445,25,114,4,331,21,0.5372305407730106,0.1844045908352815,1.5651272705952686,0.2547516490981103
Recurrence,35-50,0,4,445,29,114,4,331,25,0.45389849901809287,0.15796073205847153,1.304272553856074,0.14245086544762983
Recurrence,35-50,0,5,445,33,114,5,331,28,0.5115065916838226,0.19749156162934212,1.3248110004165772,0.16736783153673662
Recurrence,35-50,90,All,437,29,114,5,323,24,0.6019547766349441,0.22963441378310465,1.5779409851690327,0.3019209549927816
Recurrence,35-50,90,2,437,14,114,2,323,12,0.4671731497022144,0.10455472019728879,2.0874308820382375,0.31903370604149994
Recurrence,35-50,90,3,437,18,114,4,323,14,0.7997110883475581,0.26322414164064156,2.429632103042983,0.6934222919663826
Recurrence,35-50,90,4,437,22,114,4,323,18,0.6276320590345216,0.21240020000226348,1.854621612991491,0.3994374834908244
Recurrence,35-50,90,5,437,26,114,5,323,21,0.6812442335915028,0.2568467463106352,1.8068895653456731,0.440554921632182
Recurrence,35-50,180,All,433,25,113,4,320,21,0.5525007288832855,0.18961461551087946,1.6098814671754411,0.27688607261564147
Recurrence,35-50,180,2,433,10,113,1,320,9,0.31069131736686634,0.03936039305361933,2.452442346184413,0.2674480457820223
Recurrence,35-50,180,3,433,14,113,3,320,11,0.7617218171025797,0.21249489681545664,2.7305132280609734,0.6760528147364677
Recurrence,35-50,180,4,433,18,113,3,320,15,0.5650490633328529,0.1635687304691659,1.9519650428143507,0.36677369357303213
Recurrence,35-50,180,5,433,22,113,4,320,18,0.6374990498065142,0.2157187978316894,1.8839574603104294,0.4154519350764242
Recurrence,35-50,270,All,428,23,112,4,316,19,0.6118996877342235,0.20811905916174203,1.7990722683320164,0.3720243746462609
Recurrence,35-50,270,2,428,8,112,1,316,7,0.39807877968033895,0.048974537331283194,3.235696005862314,0.38890413888176867
Recurrence,35-50,270,3,428,12,112,3,316,9,0.9286723626068567,0.25139938801471345,3.4305268755042713,0.9116203335798806
Recurrence,35-50,270,4,428,16,112,3,316,13,0.6516946575560831,0.1856918494605923,2.287154379262467,0.503846153265929
Recurrence,35-50,270,5,428,20,112,4,316,16,0.7180507767960029,0.24001292533923246,2.1482047990898927,0.5535819590866755
Recurrence,35-50,365,All,416,19,108,3,308,16,0.5485837337546275,0.15980155052563275,1.8832365014624535,0.3400247010751851
Recurrence,35-50,365,3,416,8,108,2,308,6,0.9235381790650221,0.18638400320475917,4.576158648410004,0.9223961944098044
Recurrence,35-50,365,4,416,12,108,2,308,10,0.5652435131205416,0.1238320520530621,2.58010929987614,0.46145571775344585
Recurrence,35-50,365,5,416,16,108,3,308,13,0.6660324603211103,0.18974985244550716,2.3378107149189233,0.5258175902258191
Recurrence,32-47,0,All,517,38,126,6,391,32,0.5992329206638436,0.2505034078961258,1.4334339649232122,0.24980350749296865
Recurrence,32-47,0,2,517,21,126,2,391,19,0.3207555834672456,0.07471090061684592,1.377096828922641,0.12612260052885352
Recurrence,32-47,0,3,517,25,126,4,391,21,0.5851300750054994,0.20084284643060846,1.7047020133437178,0.3259425171526097
Recurrence,32-47,0,4,517,29,126,4,391,25,0.4984187323510031,0.1734409345862848,1.4323102752585448,0.1960498513136132
Recurrence,32-47,0,5,517,33,126,5,391,28,0.5640995839796998,0.21777395703538707,1.4611863832476684,0.23839507915233926
Recurrence,32-47,90,All,509,32,126,6,383,26,0.7426633586867509,0.3055932284931194,1.8048464851645236,0.5113863988026334
Recurrence,32-47,90,2,509,15,126,2,383,13,0.4666083968772717,0.10529445983302578,2.067757376614493,0.3155875613189508
Recurrence,32-47,90,3,509,19,126,4,383,15,0.8182627723916547,0.27155296214767466,2.465647803605851,0.7215396320344749
Recurrence,32-47,90,4,509,23,126,4,383,19,0.6576348015579024,0.22368619779433427,1.9334386139360453,0.44622508956150164
Recurrence,32-47,90,5,509,27,126,5,383,22,0.7219526424947789,0.2733213361841065,1.9069701080859216,0.5109108237225368
Recurrence,32-47,180,All,505,28,125,5,380,23,0.7058465345037734,0.26826291935000546,1.8572053546504304,0.4803329189446601
Recurrence,32-47,180,2,505,11,125,1,380,10,0.3034844207253173,0.03884819873560742,2.370838201529327,0.25556719564211905
Recurrence,32-47,180,3,505,15,125,3,380,12,0.7698658510731657,0.21722769745718795,2.7284431754630196,0.6853717725240258
Recurrence,32-47,180,4,505,19,125,3,380,16,0.589594323068487,0.17175949378586025,2.0238850157999515,0.4011343085294
Recurrence,32-47,180,5,505,23,125,4,380,19,0.6744359263248729,0.22937371523551217,1.9830686277660567,0.47411797956070556
Recurrence,32-47,270,All,500,26,124,5,376,21,0.7770466503936837,0.2929088197399061,2.0613974595377518,0.6123198048866919
Recurrence,32-47,270,2,500,9,124,1,376,8,0.37909718394466,0.04741289350496759,3.0311306535154614,0.3604606741748947
Recurrence,32-47,270,3,500,13,124,3,376,10,0.9255152273395458,0.25467746287356563,3.363385304582757,0.9064044253753684
Recurrence,32-47,270,4,500,17,124,3,376,14,0.676462857143065,0.19435225582922236,2.354497997163739,0.539037146174163
Recurrence,32-47,270,5,500,21,124,4,376,17,0.7575715153546397,0.2548273497519062,2.2521703476313464,0.6174607357661301
Recurrence,32-47,365,All,488,22,120,4,368,18,0.7353228071350035,0.24878147477491014,2.1733918539638455,0.5781874858194698
Recurrence,32-47,365,2,488,5,120,0,368,5,1.6126540612719109e-27,0.0,inf,0.9999999999974627
Recurrence,32-47,365,3,488,9,120,2,368,7,0.8884870109630931,0.18453536725879022,4.277820454563994,0.8827783296046986
Recurrence,32-47,365,4,488,13,120,2,368,11,0.5813147008899613,0.12881257980972155,2.6233989100285195,0.4804637439917234
Recurrence,32-47,365,5,488,17,120,3,368,14,0.7000288774631208,0.20110283971107984,2.4367653385019707,0.5751999519546025
Recurrence,33-48,0,All,489,38,116,5,373,33,0.49881800684906885,0.1947004103090305,1.2779603471916103,0.14733218727296954
Recurrence,33-48,0,2,489,22,116,2,373,20,0.3158729737133415,0.0738295569347566,1.351433486329621,0.12020595153859993
Recurrence,33-48,0,3,489,25,116,3,373,22,0.4322799726564027,0.12938014697938618,1.4443172242615645,0.17298593395627349
Recurrence,33-48,0,4,489,29,116,3,373,26,0.37051236498992085,0.11213484656319098,1.2242350778360742,0.1034784976774193
Recurrence,33-48,0,5,489,33,116,4,373,29,0.44819888553675674,0.15754449754968528,1.2750825583929897,0.13246815272708728
Recurrence,33-48,90,All,480,31,116,5,364,26,0.6377984615067285,0.2448532002868745,1.6613500539251718,0.35718962782037045
Recurrence,33-48,90,2,480,15,116,2,364,13,0.48377411658686503,0.10916768931932733,2.1438339250253517,0.3390721782726096
Recurrence,33-48,90,3,480,18,116,3,364,15,0.6325168347838473,0.18310422285821484,2.1849717064951224,0.46893332268086996
Recurrence,33-48,90,4,480,22,116,3,364,19,0.5081371774954663,0.15034815971802948,1.7173698144181258,0.27588393449773707
Recurrence,33-48,90,5,480,26,116,4,364,22,0.5938540088039227,0.20460267037993093,1.7236460458586542,0.33778423055540696
Recurrence,33-48,180,All,476,27,115,4,361,23,0.5819920967063589,0.2012203195373516,1.6833031644490046,0.31781727042197516
Recurrence,33-48,180,2,476,11,115,1,361,10,0.31516864118158594,0.04034374008184828,2.4621235458766764,0.2709359379856192
Recurrence,33-48,180,3,476,14,115,2,361,12,0.5289049495191658,0.11836657230513442,2.363339920875084,0.40431917009010254
Recurrence,33-48,180,4,476,18,115,2,361,16,0.40492743424986344,0.09309007605368043,1.7613717160745073,0.22809464565324222
Recurrence,33-48,180,5,476,22,115,3,361,19,0.5199283707809177,0.15382494905043068,1.7573580385472756,0.29251312951162634
Recurrence,33-48,270,All,471,25,114,4,357,21,0.6407148018017905,0.21987226088778747,1.8670634285123195,0.41461131440223054
Recurrence,33-48,270,2,471,9,114,1,357,8,0.3941722630522829,0.049298074673976386,3.151680344258479,0.3800954099527605
Recurrence,33-48,270,3,471,12,114,2,357,10,0.6356810656633783,0.13927147162363776,2.9014586586327447,0.5586339810413352
Recurrence,33-48,270,4,471,16,114,2,357,14,0.46454121554314837,0.10555822165068234,2.0443555941330214,0.31051540954739343
Recurrence,33-48,270,5,471,20,114,3,357,17,0.5838634841138416,0.1710642485920907,1.9927984420311873,0.3902864975524213
Recurrence,33-48,365,All,460,21,110,3,350,18,0.5684577127658733,0.16740282093577652,1.9303388640444787,0.36517103556588193
Recurrence,33-48,365,2,460,5,110,0,350,5,1.088528403360801e-08,0.0,inf,0.998082949497329
Recurrence,33-48,365,3,460,8,110,1,350,7,0.457338932618038,0.05626170640593074,3.717606746214121,0.4643062897724789
Recurrence,33-48,365,4,460,12,110,1,350,11,0.2993478614688585,0.03863991150950715,2.3190824892011217,0.24821112209754392
Recurrence,33-48,365,5,460,16,110,2,350,14,0.47926145558956634,0.10889720978830907,2.109250946469053,0.3306319645832354
HPV,All,0,All,948,592,244,152,704,440,0.9326697356990425,0.7755736024740087,1.1215864401703555,0.45887783952135053
HPV,All,0,2,948,472,244,118,704,354,0.8963124070315426,0.727703698731586,1.1039876977387788,0.3032196532488163
HPV,All,0,3,948,511,244,128,704,383,0.899856478559986,0.7366285984641928,1.099253658756421,0.301457226020418
HPV,All,0,4,948,541,244,137,704,404,0.9135639874036177,0.7526003757108971,1.1089539495544964,0.36061643866332005
HPV,All,0,5,948,559,244,143,704,416,0.9270845247378826,0.7666320725725253,1.1211189131761197,0.43488554576109595
HPV,All,90,All,809,455,219,127,590,328,1.0279077950410027,0.8374827150788893,1.2616313340944916,0.7923006128663206
