vaccine,n_vacc,n_unvacc,n_total,events_vacc,events_unvacc,events_total,HR,CI_lower,CI_upper,p_value,outcome
Gardasil9,128,463,591,5,28,33,0.614308831534428,0.23637934057300466,1.596481907371442,0.3173283474681432,recurrence
Cervarix,77,273,350,6,19,25,1.134366618538566,0.45222493819431997,2.8454592318429164,0.7881639319440115,recurrence
Gardasil,36,131,167,2,10,12,0.76203517533146,0.16652213421626277,3.4872097404678675,0.7261649806388837,recurrence
Gardasil9,128,463,591,85,315,400,0.9088242970042735,0.7151068093058999,1.1550185120276093,0.4344060271654908,hpv
Cervarix,77,273,350,53,157,210,1.2762572280195343,0.9341288083302034,1.743691552542648,0.12551383894929324,hpv
Gardasil,36,131,167,11,74,85,0.39508732991349865,0.209445969331906,0.7452709582146115,0.0041307450366695,hpv
