class,label,n,n_vac,n_ctl,events_vac,events_ctl,events_competing,median_fu_vac_d,median_fu_ctl_d,cs_HR,cs_CI_lo,cs_CI_hi,cs_p,fg_HR,fg_CI_lo,fg_CI_hi,fg_p
1,협심증/심근경색,4102,2051,2051,3,1,29,1708.0,2640.0,,,,,,,,
2,고혈압,4086,2041,2045,8,7,29,1702.0,2640.0,1.4905604652278022,0.5312376610284767,4.182253374504308,0.44827874329944084,1.508136675501399,0.5461012624111169,4.164934946222733,0.42792112056861376
3,당뇨,4078,2037,2041,22,22,29,1702.0,2626.0,1.300818255960268,0.7173168657029336,2.3589688406131573,0.3865015434903013,1.3070496725223018,0.7233041937468084,2.361909223270274,0.3750895037435569
4,뇌출혈/뇌경색,4102,2051,2051,0,0,29,1708.0,2640.0,,,,,,,,
5,폐색전증,4102,2051,2051,0,1,29,1708.0,2640.0,,,,,,,,
MCE,MCE (심근경색·뇌졸중·폐색전증),4102,2051,2051,3,2,29,1708.0,2640.0,1.9650053583541198,0.3100473787429867,12.453729084938262,0.4733783409646489,1.9790924683793982,0.3300581385425022,11.867021415354934,0.45507151624023656
ANY5,Any of 5 (5대 질환 중 어느 하나),4062,2027,2035,30,30,29,1701.0,2619.0,1.3044268290070473,0.782274112488474,2.1751063023429027,0.3083342940971471,1.313126187392107,0.7910837316049092,2.179668618032077,0.29207463511161946
